,date,akoka_local_t3a,amuwo_local_t3,apapa_mains_1,apapa_mains_2,apapa_road_local_t1,apapa_road_local_t2,badia_33,causeway_1_33,causeway_2_33,flour_mills,naval_base,nrc_(akangba),nrc_(akoka),sabo_33,unilag,total_max_capacity,total_feeder_deficit,total_energy_deficit
238,2019-08-27,226.0,36.0,229.5,29.5,113.2,97.80000000000013,74.40000000000006,223.20000000000002,194.79999999999998,0.0,122.89999999999996,325.20000000000005,5.0,153.29999999999998,173.0,3114.800000000001,5118.600000000001,2003.8000000000002
239,2019-08-28,226.0,34.0,229.5,36.5,106.2,81.50000000000011,75.60000000000011,223.3,212.49999999999997,0.0,122.89999999999996,325.20000000000005,5.0,131.29999999999998,173.0,3114.800000000001,5097.300000000001,1982.5
240,2019-08-29,226.0,57.0,229.5,17.5,112.10000000000004,89.40000000000012,47.50000000000006,226.11,220.90000000000003,0.0,122.89999999999996,325.40000000000003,5.0,126.29999999999998,173.0,3114.800000000001,5093.410000000002,1978.6100000000006
241,2019-08-30,226.0,122.79999999999998,229.5,119.5,137.8,146.70000000000013,151.00000000000006,174.67000000000002,370.8,0.0,122.89999999999996,326.30000000000007,5.0,203.29999999999998,173.0,3114.800000000001,5624.0700000000015,2509.2700000000004
242,2019-08-31,226.0,44.0,229.5,122.5,108.20000000000002,115.40000000000015,52.800000000000125,74.1,372.0,0.0,122.89999999999996,327.70000000000005,5.0,121.29999999999998,173.0,3114.800000000001,5209.200000000001,2094.3999999999996
243,2019-09-01,226.0,74.0,209.5,142.5,112.70000000000002,107.40000000000015,101.80000000000007,118.90000000000003,372.0,0.0,122.89999999999996,327.70000000000005,5.0,136.29999999999998,173.0,3114.800000000001,5344.500000000002,2229.7000000000007
244,2019-09-02,226.0,97.0,145.5,152.0,106.30000000000001,112.60000000000014,53.30000000000001,144.50000000000006,303.9,0.0,122.89999999999996,322.70000000000005,5.0,148.29999999999998,173.0,3114.800000000001,5227.800000000001,2113.0
245,2019-09-03,226.0,117.0,130.5,155.5,112.10000000000002,98.50000000000011,76.70000000000007,233.62000000000003,201.69999999999996,0.0,122.89999999999996,326.80000000000007,5.0,124.29999999999998,173.0,3114.800000000001,5218.420000000002,2103.620000000001
246,2019-09-04,226.0,103.0,142.5,193.5,126.10000000000004,108.50000000000011,61.60000000000005,241.10000000000002,250.7,0.0,122.89999999999996,325.00000000000006,5.0,141.29999999999998,173.0,3114.800000000001,5335.000000000001,2220.2
247,2019-09-05,226.0,52.0,134.5,99.0,109.20000000000002,110.20000000000013,71.80000000000004,222.70000000000002,230.89999999999998,0.0,122.89999999999996,230.30000000000007,5.0,124.29999999999998,173.0,3114.800000000001,5026.600000000001,1911.8000000000002
248,2019-09-06,226.0,25.0,127.0,113.5,127.60000000000005,110.60000000000014,75.20000000000002,244.90000000000003,204.50000000000003,0.0,122.89999999999996,203.40000000000003,5.0,188.29999999999998,173.0,3114.800000000001,5061.700000000001,1946.8999999999996
249,2019-09-07,226.0,53.599999999999994,151.5,78.5,135.60000000000002,107.20000000000013,107.80000000000007,229.8,207.00000000000003,0.0,122.89999999999996,327.70000000000005,5.0,128.29999999999998,173.0,3114.800000000001,5168.700000000002,2053.9000000000005
